brand,des_folder,des_path,url
Facebook,dataset/0,dataset/0/cl0/0.png,https://pcoasleakvmsdktlaskcamcaksemaes.blogspot.com/
Facebook,dataset/0,dataset/0/cl0/1.png,https://pcoasleakvmsdktlaskcamcaksemaes.blogspot.com/
Facebook,dataset/0,dataset/0/cl0/2.png,https://pcoasleakvmsdktlaskcamcaksemaes.blogspot.com/
Facebook,dataset/1,dataset/1/cl1/0.png,https://ocpasleakvmsdktlackascmaskemas.blogspot.com/
Facebook,dataset/1,dataset/1/cl1/1.png,https://ocpasleakvmsdktlackascmaskemas.blogspot.com/
Facebook,dataset/1,dataset/1/cl1/2.png,https://ocpasleakvmsdktlackascmaskemas.blogspot.com/
Facebook,dataset/2,dataset/2/cl2/0.png,https://pcoaslekavmsdutkascmaskcamseaesa.blogspot.com/
Facebook,dataset/2,dataset/2/cl2/1.png,https://pcoaslekavmsdutkascmaskcamseaesa.blogspot.com/
Facebook,dataset/2,dataset/2/cl2/2.png,https://pcoaslekavmsdutkascmaskcamseaesa.blogspot.com/
Facebook,dataset/3,dataset/3/cl3/0.png,http://yeasin507.github.io/facebook-login
Facebook,dataset/5,dataset/5/cl5/0.png,http://loginform.us/index.html
Facebook,dataset/6,dataset/6/cl6/0.png,https://pcoasleakvmsdktlakscasmckasmease.blogspot.com/
Facebook,dataset/6,dataset/6/cl6/1.png,https://pcoasleakvmsdktlakscasmckasmease.blogspot.com/
Facebook,dataset/7,dataset/7/cl7/0.png,https://pcoasleakvmsdtuhackasmckasmease.blogspot.com/
Facebook,dataset/7,dataset/7/cl7/1.png,https://pcoasleakvmsdtuhackasmckasmease.blogspot.com/
Facebook,dataset/8,dataset/8/cl8/0.png,https://gdfgdsfgvdsxfvdhgfh.blogspot.com/
Facebook,dataset/8,dataset/8/cl8/1.png,https://gdfgdsfgvdsxfvdhgfh.blogspot.com/
Facebook,dataset/9,dataset/9/cl9/0.png,https://cdrdeds12s.blogspot.com/
Facebook,dataset/9,dataset/9/cl9/1.png,https://cdrdeds12s.blogspot.com/
Facebook,dataset/9,dataset/9/cl9/2.png,https://cdrdeds12s.blogspot.com/
Facebook,dataset/11,dataset/11/cl11/0.png,https://23-9n7.pages.dev/
Facebook,dataset/12,dataset/12/cl12/0.png,https://ii-d9v.pages.dev/
Facebook,dataset/13,dataset/13/cl13/0.png,https://pallabsarker.github.io/Facebook-Login-Page
